XODR Coordinates for (s, t) Coordinates on R1
====================================================================================================

         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
    3491.0 |      0.000 |      158.887555 |       56.953555 |        5.786000 |      161.080860 |       51.775218 |        5.786000
    3492.0 |      0.000 |      158.299245 |       57.780902 |        5.786000 |      160.503532 |       52.591730 |        5.786000
    3493.0 |      0.000 |      157.713127 |       58.609787 |        5.786000 |      159.928363 |       53.409764 |        5.786000
    3494.0 |      0.000 |      157.128236 |       59.439531 |        5.786000 |      159.354403 |       54.228647 |        5.786000
    3495.0 |      0.000 |      156.543681 |       60.269508 |        5.786000 |      158.780773 |       55.047761 |        5.786000
    3496.0 |      0.000 |      155.959451 |       61.099712 |        5.786000 |      158.207464 |       55.867100 |        5.786000
    3497.0 |      0.000 |      155.375538 |       61.930138 |        5.786000 |      157.634468 |       56.686658 |        5.786000
    3498.0 |      0.000 |      154.791934 |       62.760777 |        5.786000 |      157.061775 |       57.506428 |        5.786000
    3499.0 |      0.000 |      154.208628 |       63.591625 |        5.786000 |      156.489377 |       58.326404 |        5.786000
    3500.0 |      0.000 |      153.625613 |       64.422674 |        5.786000 |      155.917264 |       59.146579 |        5.786000
