================================================================================
RESULTS SUMMARY
================================================================================

XODR coordinates for (s, t) coordinates on R1:

----------------------------------------------------------------------------------------------------
         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
     617.0 |      0.000 |     -164.694952 |     -309.838819 |       10.929691 |     -157.963533 |     -310.853601 |       10.929691
     618.0 |      0.000 |     -164.907841 |     -310.827521 |       10.906106 |     -158.174802 |     -311.830359 |       10.906106
     619.0 |      0.000 |     -165.115394 |     -311.816965 |       10.882047 |     -158.380823 |     -312.807842 |       10.882047
     620.0 |      0.000 |     -165.317799 |     -312.808345 |       10.857515 |     -158.581782 |     -313.787233 |       10.857515
     621.0 |      0.000 |     -165.514948 |     -313.801476 |       10.832509 |     -158.777572 |     -314.768347 |       10.832509
     622.0 |      0.000 |     -165.706572 |     -314.795326 |       10.807029 |     -158.967928 |     -315.750166 |       10.807029
     623.0 |      0.000 |     -165.892619 |     -315.789888 |       10.781197 |     -159.152797 |     -316.732681 |       10.781197
     624.0 |      0.000 |     -166.073032 |     -316.785152 |       10.755153 |     -159.332126 |     -317.715885 |       10.755153
     625.0 |      0.000 |     -166.247759 |     -317.781111 |       10.728898 |     -159.505860 |     -318.699768 |       10.728898
     626.0 |      0.000 |     -166.416919 |     -318.778811 |       10.702432 |     -159.674120 |     -319.685364 |       10.702432
     627.0 |      0.000 |     -166.580392 |     -319.777950 |       10.675755 |     -159.836788 |     -320.672376 |       10.675755
     628.0 |      0.000 |     -166.737992 |     -320.777762 |       10.648867 |     -159.993679 |     -321.660045 |       10.648867
     629.0 |      0.000 |     -166.889665 |     -321.778237 |       10.621767 |     -160.144739 |     -322.648364 |       10.621767
     630.0 |      0.000 |     -167.035356 |     -322.779368 |       10.594456 |     -160.289913 |     -323.637323 |       10.594456
     631.0 |      0.000 |     -167.175009 |     -323.781146 |       10.566934 |     -160.429149 |     -324.626915 |       10.566934
     632.0 |      0.000 |     -167.308668 |     -324.784321 |       10.539201 |     -160.562491 |     -325.617880 |       10.539201
     633.0 |      0.000 |     -167.436226 |     -325.788567 |       10.511257 |     -160.689830 |     -326.609897 |       10.511257
     634.0 |      0.000 |     -167.557566 |     -326.793437 |       10.483101 |     -160.811054 |     -327.602523 |       10.483101
     635.0 |      0.000 |     -167.672635 |     -327.798923 |       10.454734 |     -160.926108 |     -328.595749 |       10.454734
     636.0 |      0.000 |     -167.781376 |     -328.805015 |       10.426156 |     -161.034937 |     -329.589569 |       10.426156
     637.0 |      0.000 |     -167.883735 |     -329.811707 |       10.397367 |     -161.137488 |     -330.583973 |       10.397367
     638.0 |      0.000 |     -167.979680 |     -330.819241 |       10.368367 |     -161.233730 |     -331.579203 |       10.368367
     639.0 |      0.000 |     -168.069139 |     -331.827471 |       10.339155 |     -161.323591 |     -332.575112 |       10.339155
     640.0 |      0.000 |     -168.152045 |     -332.836276 |       10.309733 |     -161.407007 |     -333.571582 |       10.309733
     641.0 |      0.000 |     -168.228344 |     -333.845645 |       10.280099 |     -161.483922 |     -334.568603 |       10.280099
     642.0 |      0.000 |     -168.297980 |     -334.855573 |       10.250253 |     -161.554283 |     -335.566167 |       10.250253
     643.0 |      0.000 |     -168.360899 |     -335.866049 |       10.220197 |     -161.618035 |     -336.564266 |       10.220197
     644.0 |      0.000 |     -168.417017 |     -336.876537 |       10.189922 |     -161.675097 |     -337.562369 |       10.189922
     645.0 |      0.000 |     -168.466306 |     -337.887384 |       10.159162 |     -161.725439 |     -338.560819 |       10.159162
     646.0 |      0.000 |     -168.508721 |     -338.898753 |       10.127790 |     -161.769020 |     -339.559778 |       10.127790
     647.0 |      0.000 |     -168.544207 |     -339.910638 |       10.095805 |     -161.805785 |     -340.559238 |       10.095805
     648.0 |      0.000 |     -168.572710 |     -340.923029 |       10.063208 |     -161.835679 |     -341.559191 |       10.063208
     649.0 |      0.000 |     -168.594174 |     -341.935918 |       10.029999 |     -161.858648 |     -342.559627 |       10.029999
     650.0 |      0.000 |     -168.610536 |     -342.948113 |        9.996177 |     -161.876597 |     -343.559373 |        9.996177
     651.0 |      0.000 |     -168.625792 |     -343.960204 |        9.961743 |     -161.893456 |     -344.559015 |        9.961743
